18,131841,18,45226,30720
18,56747,18,34134,54188
18,45653,18,30720,23466
18,58453,18,35414,40107
18,43520,18,38400,56748
18,33707,18,14506,21759
18,57600,18,24319,36693
18,45227,18,85333,47788
18,45653,18,21334,38400
18,51201,18,20906,30720
18,156587,18,55039,41813
18,52906,18,32427,32427
18,38827,18,16640,21760
18,38826,18,17921,26454
18,32426,18,87893,52053
18,34560,18,14933,26026
18,139094,18,20053,24320
18,59735,18,30293,34986
18,34134,18,15360,24747
18,50774,18,19627,29866
18,116053,18,40533,29867
18,58880,18,24320,23467
18,36694,18,16213,23040
18,39253,18,18774,26026
18,47788,18,30293,52480
18,55040,18,30720,37546
18,46934,18,41387,24320
18,85760,18,21760,31147
18,40960,18,19626,49920
18,50347,18,23040,29014
18,365654,18,84907,43520
18,36693,18,22186,23893
18,48214,18,74667,28159
18,53760,18,38828,133546
18,50346,18,28586,48639
18,34134,18,14506,22186
18,40107,18,52480,33281
18,64853,18,26028,34133
18,61440,18,23041,37120
18,87040,18,31574,38400
18,179626,18,89174,37547
18,56747,18,35840,37120
18,36266,18,15786,21760
18,56319,18,21334,25600
18,45653,18,29013,39680
18,33280,18,14507,22186
18,57173,18,34560,37973
18,64853,18,26880,36693
18,34560,18,17066,25173
18,49494,18,20054,30293
18,196268,18,52053,37120
18,66560,18,35414,34986
18,37973,18,21333,24748
18,36693,18,15786,27306
18,34134,18,19627,89173
18,37121,18,15360,24320
18,53760,18,37547,26027
18,78080,18,26027,34132
18,52480,18,15360,27307
18,55039,18,21333,30293
18,114347,18,41387,30294
18,40533,18,22614,24320
18,37120,18,16213,23040
18,43947,18,22614,26453
18,45653,18,35839,47786
18,49066,18,26880,34133
18,55467,18,45227,34133
18,76374,18,30719,37974
18,118187,18,28160,36694
18,35413,18,14506,21334
18,170666,18,43093,29014
18,54187,18,136533,39253
18,51627,18,22188,31573
18,50347,18,29440,37546
18,45227,18,42240,61013
18,35840,18,15360,21760
18,52908,18,39680,34560
18,47360,18,33281,25173
18,62719,18,20480,40534
18,58453,18,13653,21334
18,162132,18,55041,35840
18,64001,18,25600,72534
18,117335,18,34986,32427
18,37120,18,18773,25601
18,35840,18,21333,38826
18,61867,18,26881,33281
18,61440,18,45653,34560
18,58453,18,17068,23467
18,46933,18,14081,25174
18,37120,18,14080,22187
18,120321,18,46934,28586
18,53334,18,31147,34133
18,40960,18,17494,23040
18,120748,18,58026,44799
18,43093,18,26026,50348
18,95147,18,41388,25600
18,57173,18,66987,46507
18,40960,18,29440,35839
18,33279,18,14080,23466
18,35841,18,13227,20906
